DATE,OPEN,HIGH,LOW,CLOSE
01/03/2006,23.500000,23.500000,23.500000,23.500000
01/04/2006,24.330000,24.330000,24.330000,24.330000
01/05/2006,23.550000,23.550000,23.550000,23.550000
01/06/2006,22.860000,22.860000,22.860000,22.860000
01/09/2006,21.970000,21.970000,21.970000,21.970000
01/10/2006,20.850000,20.850000,20.850000,20.850000
01/11/2006,20.770000,20.770000,20.770000,20.770000
01/12/2006,20.570000,20.570000,20.570000,20.570000
01/13/2006,21.240000,21.240000,21.240000,21.240000
01/17/2006,22.580000,22.580000,22.580000,22.580000
01/18/2006,22.900000,22.900000,22.900000,22.900000
01/19/2006,21.440000,21.440000,21.440000,21.440000
01/20/2006,28.140000,28.140000,28.140000,28.140000
01/23/2006,26.800000,26.800000,26.800000,26.800000
01/24/2006,25.310000,25.310000,25.310000,25.310000
01/25/2006,25.290000,25.290000,25.290000,25.290000
01/26/2006,24.810000,24.810000,24.810000,24.810000
01/27/2006,24.400000,24.400000,24.400000,24.400000
01/30/2006,25.330000,25.330000,25.330000,25.330000
01/31/2006,24.890000,24.890000,24.890000,24.890000
02/01/2006,26.030000,26.030000,26.030000,26.030000
02/02/2006,29.220000,29.220000,29.220000,29.220000
02/03/2006,27.740000,27.740000,27.740000,27.740000
02/06/2006,24.830000,24.830000,24.830000,24.830000
02/07/2006,27.710000,27.710000,27.710000,27.710000
02/08/2006,25.440000,25.440000,25.440000,25.440000
02/09/2006,27.030000,27.030000,27.030000,27.030000
02/10/2006,26.860000,26.860000,26.860000,26.860000
02/13/2006,27.750000,27.750000,27.750000,27.750000
02/14/2006,25.540000,25.540000,25.540000,25.540000
02/15/2006,24.190000,24.190000,24.190000,24.190000
02/16/2006,22.100000,22.100000,22.100000,22.100000
02/17/2006,24.710000,24.710000,24.710000,24.710000
02/21/2006,26.170000,26.170000,26.170000,26.170000
02/22/2006,25.880000,25.880000,25.880000,25.880000
02/23/2006,26.030000,26.030000,26.030000,26.030000
02/24/2006,25.420000,25.420000,25.420000,25.420000
02/27/2006,25.560000,25.560000,25.560000,25.560000
02/28/2006,29.820000,29.820000,29.820000,29.820000
03/01/2006,24.640000,24.640000,24.640000,24.640000
03/02/2006,25.740000,25.740000,25.740000,25.740000
03/03/2006,27.760000,27.760000,27.760000,27.760000
03/06/2006,30.570000,30.570000,30.570000,30.570000
03/07/2006,31.030000,31.030000,31.030000,31.030000
03/08/2006,29.940000,29.940000,29.940000,29.940000
03/09/2006,31.720000,31.720000,31.720000,31.720000
03/10/2006,28.750000,28.750000,28.750000,28.750000
03/13/2006,26.650000,26.650000,26.650000,26.650000
03/14/2006,25.540000,25.540000,25.540000,25.540000
03/15/2006,25.700000,25.700000,25.700000,25.700000
03/16/2006,25.210000,25.210000,25.210000,25.210000
03/17/2006,26.440000,26.440000,26.440000,26.440000
03/20/2006,30.910000,30.910000,30.910000,30.910000
03/21/2006,30.550000,30.550000,30.550000,30.550000
03/22/2006,27.710000,27.710000,27.710000,27.710000
03/23/2006,27.440000,27.440000,27.440000,27.440000
03/24/2006,28.120000,28.120000,28.120000,28.120000
03/27/2006,28.760000,28.760000,28.760000,28.760000
03/28/2006,27.040000,27.040000,27.040000,27.040000
03/29/2006,24.870000,24.870000,24.870000,24.870000
03/30/2006,28.550000,28.550000,28.550000,28.550000
03/31/2006,29.080000,29.080000,29.080000,29.080000
04/03/2006,25.840000,25.840000,25.840000,25.840000
04/04/2006,24.230000,24.230000,24.230000,24.230000
04/05/2006,24.230000,24.230000,24.230000,24.230000
04/06/2006,24.040000,24.040000,24.040000,24.040000
04/07/2006,26.800000,26.800000,26.800000,26.800000
04/10/2006,25.570000,25.570000,25.570000,25.570000
04/11/2006,29.490000,29.490000,29.490000,29.490000
04/12/2006,28.100000,28.100000,28.100000,28.100000
04/13/2006,26.990000,26.990000,26.990000,26.990000
04/17/2006,25.780000,25.780000,25.780000,25.780000
04/18/2006,22.090000,22.090000,22.090000,22.090000
04/19/2006,21.140000,21.140000,21.140000,21.140000
04/20/2006,21.500000,21.500000,21.500000,21.500000
04/21/2006,22.400000,22.400000,22.400000,22.400000
04/24/2006,23.200000,23.200000,23.200000,23.200000
04/25/2006,23.670000,23.670000,23.670000,23.670000
04/26/2006,25.470000,25.470000,25.470000,25.470000
04/27/2006,24.270000,24.270000,24.270000,24.270000
04/28/2006,24.470000,24.470000,24.470000,24.470000
05/01/2006,27.510000,27.510000,27.510000,27.510000
05/02/2006,24.800000,24.800000,24.800000,24.800000
05/03/2006,26.360000,26.360000,26.360000,26.360000
05/04/2006,25.890000,25.890000,25.890000,25.890000
05/05/2006,24.970000,24.970000,24.970000,24.970000
05/08/2006,27.110000,27.110000,27.110000,27.110000
05/09/2006,26.970000,26.970000,26.970000,26.970000
05/10/2006,27.000000,27.000000,27.000000,27.000000
05/11/2006,27.660000,27.660000,27.660000,27.660000
05/12/2006,33.810000,33.810000,33.810000,33.810000
05/15/2006,32.070000,32.070000,32.070000,32.070000
05/16/2006,31.550000,31.550000,31.550000,31.550000
05/17/2006,42.030000,42.030000,42.030000,42.030000
05/18/2006,43.480000,43.480000,43.480000,43.480000
05/19/2006,37.380000,37.380000,37.380000,37.380000
05/22/2006,39.470000,39.470000,39.470000,39.470000
05/23/2006,47.180000,47.180000,47.180000,47.180000
05/24/2006,38.080000,38.080000,38.080000,38.080000
05/25/2006,34.460000,34.460000,34.460000,34.460000
05/26/2006,31.990000,31.990000,31.990000,31.990000
05/30/2006,47.960000,47.960000,47.960000,47.960000
05/31/2006,37.200000,37.200000,37.200000,37.200000
06/01/2006,31.500000,31.500000,31.500000,31.500000
06/02/2006,32.330000,32.330000,32.330000,32.330000
06/05/2006,42.060000,42.060000,42.060000,42.060000
06/06/2006,42.890000,42.890000,42.890000,42.890000
06/07/2006,43.820000,43.820000,43.820000,43.820000
06/08/2006,45.840000,45.840000,45.840000,45.840000
06/09/2006,45.300000,45.300000,45.300000,45.300000
06/12/2006,52.220000,52.220000,52.220000,52.220000
06/13/2006,58.530000,58.530000,58.530000,58.530000
06/14/2006,44.610000,44.610000,44.610000,44.610000
06/15/2006,29.170000,29.170000,29.170000,29.170000
06/16/2006,35.500000,35.500000,35.500000,35.500000
06/19/2006,45.090000,45.090000,45.090000,45.090000
06/20/2006,41.330000,41.330000,41.330000,41.330000
06/21/2006,37.420000,37.420000,37.420000,37.420000
06/22/2006,38.540000,38.540000,38.540000,38.540000
06/23/2006,40.720000,40.720000,40.720000,40.720000
06/26/2006,37.220000,37.220000,37.220000,37.220000
06/27/2006,40.980000,40.980000,40.980000,40.980000
06/28/2006,37.820000,37.820000,37.820000,37.820000
06/29/2006,27.730000,27.730000,27.730000,27.730000
06/30/2006,28.440000,28.440000,28.440000,28.440000
07/03/2006,27.020000,27.020000,27.020000,27.020000
07/05/2006,29.670000,29.670000,29.670000,29.670000
07/06/2006,29.480000,29.480000,29.480000,29.480000
07/07/2006,30.450000,30.450000,30.450000,30.450000
07/10/2006,29.320000,29.320000,29.320000,29.320000
07/11/2006,25.620000,25.620000,25.620000,25.620000
07/12/2006,30.400000,30.400000,30.400000,30.400000
07/13/2006,41.440000,41.440000,41.440000,41.440000
07/14/2006,38.800000,38.800000,38.800000,38.800000
07/17/2006,40.660000,40.660000,40.660000,40.660000
07/18/2006,38.600000,38.600000,38.600000,38.600000
07/19/2006,32.780000,32.780000,32.780000,32.780000
07/20/2006,35.020000,35.020000,35.020000,35.020000
07/21/2006,44.710000,44.710000,44.710000,44.710000
07/24/2006,33.530000,33.530000,33.530000,33.530000
07/25/2006,35.120000,35.120000,35.120000,35.120000
07/26/2006,33.830000,33.830000,33.830000,33.830000
07/27/2006,35.890000,35.890000,35.890000,35.890000
07/28/2006,33.700000,33.700000,33.700000,33.700000
07/31/2006,35.030000,35.030000,35.030000,35.030000
08/01/2006,34.710000,34.710000,34.710000,34.710000
08/02/2006,33.050000,33.050000,33.050000,33.050000
08/03/2006,33.990000,33.990000,33.990000,33.990000
08/04/2006,33.370000,33.370000,33.370000,33.370000
08/07/2006,35.590000,35.590000,35.590000,35.590000
08/08/2006,36.300000,36.300000,36.300000,36.300000
08/09/2006,37.550000,37.550000,37.550000,37.550000
08/10/2006,33.460000,33.460000,33.460000,33.460000
08/11/2006,34.150000,34.150000,34.150000,34.150000
08/14/2006,33.770000,33.770000,33.770000,33.770000
08/15/2006,31.340000,31.340000,31.340000,31.340000
08/16/2006,27.290000,27.290000,27.290000,27.290000
08/17/2006,24.400000,24.400000,24.400000,24.400000
08/18/2006,24.270000,24.270000,24.270000,24.270000
08/21/2006,26.410000,26.410000,26.410000,26.410000
08/22/2006,27.920000,27.920000,27.920000,27.920000
08/23/2006,29.420000,29.420000,29.420000,29.420000
08/24/2006,29.580000,29.580000,29.580000,29.580000
08/25/2006,28.440000,28.440000,28.440000,28.440000
08/28/2006,26.750000,26.750000,26.750000,26.750000
08/29/2006,26.570000,26.570000,26.570000,26.570000
08/30/2006,26.730000,26.730000,26.730000,26.730000
08/31/2006,27.510000,27.510000,27.510000,27.510000
09/01/2006,27.110000,27.110000,27.110000,27.110000
09/05/2006,26.950000,26.950000,26.950000,26.950000
09/06/2006,30.920000,30.920000,30.920000,30.920000
09/07/2006,29.560000,29.560000,29.560000,29.560000
09/08/2006,26.850000,26.850000,26.850000,26.850000
09/11/2006,26.080000,26.080000,26.080000,26.080000
09/12/2006,24.270000,24.270000,24.270000,24.270000
09/13/2006,21.960000,21.960000,21.960000,21.960000
09/14/2006,23.350000,23.350000,23.350000,23.350000
09/15/2006,21.720000,21.720000,21.720000,21.720000
09/18/2006,24.840000,24.840000,24.840000,24.840000
09/19/2006,25.400000,25.400000,25.400000,25.400000
09/20/2006,23.780000,23.780000,23.780000,23.780000
09/21/2006,26.280000,26.280000,26.280000,26.280000
09/22/2006,28.550000,28.550000,28.550000,28.550000
09/25/2006,23.080000,23.080000,23.080000,23.080000
09/26/2006,22.340000,22.340000,22.340000,22.340000
09/27/2006,22.280000,22.280000,22.280000,22.280000
09/28/2006,23.810000,23.810000,23.810000,23.810000
09/29/2006,24.460000,24.460000,24.460000,24.460000
10/02/2006,24.260000,24.260000,24.260000,24.260000
10/03/2006,23.510000,23.510000,23.510000,23.510000
10/04/2006,21.880000,21.880000,21.880000,21.880000
10/05/2006,23.140000,23.140000,23.140000,23.140000
10/06/2006,20.760000,20.760000,20.760000,20.760000
10/09/2006,20.120000,20.120000,20.120000,20.120000
10/10/2006,19.390000,19.390000,19.390000,19.390000
10/11/2006,19.820000,19.820000,19.820000,19.820000
10/12/2006,18.070000,18.070000,18.070000,18.070000
10/13/2006,17.100000,17.100000,17.100000,17.100000
