date,es_am_net,es_lev_net,nq_am_net,nq_lev_net,nq_mini_am_net,nq_mini_lev_net,vix_am_net,vix_lev_net
2013-01-08,880257,-357771,20905,8717,,,18819,-110611
2013-01-15,897279,-413090,21640,8554,,,22928,-111278
2013-01-22,954460,-421609,21340,11193,,,25363,-108355
2013-01-29,1017663,-456592,23240,12458,,,22764,-112996
2013-02-05,938300,-407367,25581,13437,,,24812,-115127
2013-02-12,910032,-432400,25911,10486,,,25055,-107704
2013-02-19,898865,-385652,26451,12304,,,35096,-123734
2013-02-26,855384,-383475,24421,9698,,,33411,-129336
2013-03-05,747388,-304631,21778,12976,,,38399,-117009
2013-03-12,777472,-328510,23131,14713,,,44425,-109156
2013-03-19,849975,-321512,24787,17946,,,43363,-100884
2013-03-26,908557,-368547,23203,21452,,,52105,-102425
2013-04-02,923732,-391400,26014,23497,,,53522,-111525
2013-04-09,881529,-331136,24711,19435,,,54306,-116645
2013-04-16,934264,-328763,26520,20131,,,40811,-110304
2013-04-23,875148,-339206,25798,17804,,,29627,-84802
2013-04-30,899922,-272194,26384,25584,,,37964,-95454
2013-05-07,922085,-317448,27539,24904,,,49077,-102443
2013-05-14,960714,-381761,28565,24525,,,49846,-95111
2013-05-21,1050497,-434007,28958,24942,,,46417,-90672
2013-05-28,1072991,-459086,32897,26539,,,45998,-91074
2013-06-04,1005878,-414024,33664,24149,,,33518,-101659
2013-06-11,939586,-402675,29672,18886,,,26667,-91814
2013-06-18,975217,-477627,26649,20813,,,25147,-64313
2013-06-25,668547,-238898,25342,12771,,,21340,-49804
2013-07-02,671228,-235972,26777,12891,,,26378,-64062
2013-07-09,745960,-290567,26610,15033,,,32259,-75031
2013-07-16,786623,-311793,30350,19194,,,33080,-83642
2013-07-23,850145,-325039,30483,24032,,,32612,-107532
2013-07-30,863574,-292654,30835,25747,,,31182,-114156
2013-08-06,857684,-326867,31124,26654,,,30372,-146901
2013-08-13,824761,-336989,33908,25274,,,28560,-168021
2013-08-20,749632,-301039,31692,23092,,,26298,-166321
2013-08-27,709806,-297696,30347,23457,,,26554,-158068
2013-09-03,706306,-313466,27846,22868,,,22235,-151448
2013-09-10,765796,-343803,28644,22427,,,27857,-148917
2013-09-17,787467,-301106,29119,26026,,,28592,-150653
2013-09-24,757287,-286732,31527,26364,,,34046,-130086
2013-10-01,723435,-248851,30973,28191,,,23793,-120727
2013-10-08,682268,-197962,29145,23806,,,24940,-106636
2013-10-15,684232,-183689,29930,23735,,,18839,-96058
2013-10-22,745362,-154226,31524,21930,,,24971,-66618
2013-10-29,819236,-169629,34686,22883,,,35863,-80077
2013-11-05,796347,-145291,35630,26345,,,43598,-83186
2013-11-12,801362,-129551,34688,22994,,,43638,-81496
2013-11-19,794021,-142047,34086,24463,,,45624,-85258
2013-11-26,786250,-131517,33686,25798,,,39589,-90162
2013-12-03,763327,-104658,34934,25436,,,33895,-91670
2013-12-10,789829,-141228,33696,24740,,,35497,-98457
2013-12-17,754006,-38211,34452,26198,,,28480,-101211
2013-12-24,894345,-270022,34004,18904,,,24085,-74965
2013-12-31,920440,-261604,34975,18166,,,26997,-74547
2014-01-07,926205,-251131,34602,13408,,,23041,-76578
2014-01-14,954142,-286886,34062,13179,,,25712,-91417
2014-01-21,939037,-348133,33890,20202,,,30731,-87784
2014-01-28,826543,-315751,32282,20334,,,21805,-88189
2014-02-04,736160,-315421,31104,16169,,,22895,-78977
2014-02-11,849371,-447262,33272,13825,,,13602,-45863
2014-02-18,859615,-464288,33485,17078,,,8491,-23517
2014-02-25,782256,-430330,33486,21147,,,15516,-21310
2014-03-04,809577,-450112,36186,21498,,,17906,-29819
2014-03-11,839031,-476639,35518,19044,,,24503,-28517
2014-03-18,842583,-405196,33905,17146,,,26461,-18090
2014-03-25,975237,-428405,33460,13825,,,28633,-21717
2014-04-01,972231,-374881,29871,13650,,,28625,-39499
2014-04-08,931035,-399893,27883,4431,,,26379,-45167
2014-04-15,885523,-375512,24453,5359,,,15923,-50140
2014-04-22,890776,-343248,22742,1478,,,22189,-57106
2014-04-29,886961,-335710,20711,2933,,,26569,-76022
2014-05-06,891263,-384051,22568,2114,,,32063,-99631
2014-05-13,917489,-391800,23131,1528,,,33612,-102819
2014-05-20,885790,-439037,23290,-1019,,,31076,-88427
2014-05-27,918665,-404744,26039,-74,,,29588,-95412
2014-06-03,963611,-417112,26182,2402,,,30665,-91965
2014-06-10,970660,-454693,26335,4266,,,19304,-90743
2014-06-17,922827,-457202,26413,7664,,,25170,-93828
2014-06-24,951946,-576453,29624,8976,,,29761,-101607
2014-07-01,924094,-532149,30392,6548,,,21881,-101637
2014-07-08,936433,-552432,32344,6282,,,19005,-99122
2014-07-15,938173,-468593,33435,5416,,,12743,-83423
2014-07-22,935482,-437746,32378,8240,,,12888,-70512
2014-07-29,939633,-489497,33470,7966,,,13010,-80668
2014-08-05,822664,-413754,30490,8330,,,9985,-54579
2014-08-12,826095,-462894,26406,8872,,,-268,-7684
2014-08-19,853331,-468901,27102,4946,,,4756,-6053
2014-08-26,857838,-434904,25840,6963,,,20432,-30297
2014-09-02,844194,-437333,27129,6665,,,23989,-35320
2014-09-09,827161,-428107,27242,7758,,,26619,-37775
2014-09-16,818881,-467089,27221,10123,,,20412,-48237
2014-09-23,922787,-458382,31661,13977,,,31190,-57104
2014-09-30,876774,-432347,30456,16038,,,7875,-36446
