Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2014-07-21,J (Apr 2015),0.0000,0.0500,0.0000,0.0000,16.9000,0,0,0,0
2014-07-22,J (Apr 2015),17.7500,17.7500,17.1000,17.2000,17.2000,0.3000,194,0,173
2014-07-23,J (Apr 2015),17.1500,17.3700,17.1400,17.3700,17.3500,0.1500,550,0,466
2014-07-24,J (Apr 2015),17.3200,17.4000,17.1900,17.4000,17.4500,0.1000,1041,0,1113
2014-07-25,J (Apr 2015),17.4000,17.4900,17.3600,17.4700,17.5000,0.0500,233,0,1269
2014-07-28,J (Apr 2015),17.4100,17.5100,17.3800,17.4000,17.4000,-0.1000,369,0,1615
2014-07-29,J (Apr 2015),17.3200,17.4000,17.3000,17.3500,17.4000,0.0000,124,0,1583
2014-07-30,J (Apr 2015),17.2200,17.4600,17.1900,17.4100,17.4500,0.0500,214,0,1712
2014-07-31,J (Apr 2015),17.5500,18.0000,17.4500,18.0000,18.0000,0.5500,384,0,1923
2014-08-01,J (Apr 2015),18.0400,18.4500,17.6000,18.4500,18.4500,0.4500,456,0,2094
2014-08-04,J (Apr 2015),18.2000,18.4000,17.9500,18.0700,18.1500,-0.3000,112,0,2071
2014-08-05,J (Apr 2015),18.1800,18.7000,18.1000,18.6700,18.6500,0.5000,259,0,2281
2014-08-06,J (Apr 2015),18.6100,18.8100,18.3800,18.8000,18.8000,0.1500,479,0,2404
2014-08-07,J (Apr 2015),18.6000,19.1600,18.5900,19.0500,19.0500,0.2500,227,0,2464
2014-08-08,J (Apr 2015),19.0600,20.1100,18.7500,18.8000,18.8000,-0.2500,404,0,2610
2014-08-11,J (Apr 2015),18.8000,18.9300,18.3000,18.4000,18.4000,-0.4000,74,0,2590
2014-08-12,J (Apr 2015),18.3500,18.4600,18.3000,18.3500,18.3500,-0.0500,50,0,2600
2014-08-13,J (Apr 2015),18.3100,18.3100,18.0000,18.0000,17.9500,-0.4000,45,0,2619
2014-08-14,J (Apr 2015),17.9500,17.9500,17.6500,17.8000,17.6500,-0.3000,328,0,2779
2014-08-15,J (Apr 2015),17.6000,18.0000,17.4900,17.6000,17.6000,-0.0500,243,0,2865
2014-08-18,J (Apr 2015),17.3500,17.3600,17.1500,17.2700,17.3000,-0.3000,202,0,2947
2014-08-19,J (Apr 2015),17.1800,17.2600,17.1500,17.2300,17.2000,-0.1000,112,0,2969
2014-08-20,J (Apr 2015),17.2000,17.3400,17.0500,17.2000,17.2000,0.0000,393,0,3220
2014-08-21,J (Apr 2015),17.2500,17.3200,17.1800,17.2500,17.2500,0.0500,470,0,3554
2014-08-22,J (Apr 2015),17.2600,17.4000,17.2000,17.3000,17.3000,0.0500,339,0,3681
2014-08-25,J (Apr 2015),17.0500,17.2500,17.0500,17.2400,17.2500,-0.0500,274,0,3749
2014-08-26,J (Apr 2015),17.2400,17.4400,17.1500,17.4300,17.4500,0.2000,468,0,3850
2014-08-27,J (Apr 2015),17.4500,17.6000,17.3900,17.5500,17.6000,0.1500,379,0,3961
2014-08-28,J (Apr 2015),17.5900,17.9200,17.4500,17.5600,17.6000,0.0000,653,0,4126
2014-08-29,J (Apr 2015),17.5100,17.6600,17.4400,17.5000,17.5000,-0.1000,1110,0,4375
2014-09-02,J (Apr 2015),17.5900,17.6100,17.4000,17.6000,17.6000,0.1000,424,0,4559
2014-09-03,J (Apr 2015),17.4000,17.5800,17.4000,17.5500,17.5500,-0.0500,599,0,4802
2014-09-04,J (Apr 2015),17.4800,17.6000,17.3200,17.4500,17.4500,-0.1000,328,0,4963
2014-09-05,J (Apr 2015),17.5100,17.5900,17.2300,17.2500,17.2500,-0.2000,836,0,5266
2014-09-08,J (Apr 2015),17.4000,17.4500,17.2800,17.3000,17.3000,0.0500,257,0,5432
2014-09-09,J (Apr 2015),17.3000,17.4500,17.2500,17.4000,17.4000,0.1000,375,0,5544
2014-09-10,J (Apr 2015),17.3800,17.5500,17.2500,17.3500,17.4000,0.0000,463,0,5673
2014-09-11,J (Apr 2015),17.3800,17.5800,17.3500,17.4400,17.4500,0.0500,668,0,5927
2014-09-12,J (Apr 2015),17.4600,17.7000,17.4000,17.5500,17.5500,0.1000,560,0,6045
2014-09-15,J (Apr 2015),17.6800,17.8200,17.5500,17.8000,17.8000,0.2500,551,0,6152
2014-09-16,J (Apr 2015),17.7500,17.8300,17.3500,17.4400,17.4500,-0.3500,2376,0,6690
2014-09-17,J (Apr 2015),17.4500,17.5300,17.2300,17.5000,17.4500,0.0000,1765,0,6776
2014-09-18,J (Apr 2015),17.4500,17.4700,17.3500,17.4100,17.4500,0.0000,1424,0,7267
2014-09-19,J (Apr 2015),17.4500,17.5600,17.3000,17.5500,17.5500,0.1000,2168,0,7679
2014-09-22,J (Apr 2015),17.5300,17.7000,17.4400,17.7000,17.7000,0.1500,2886,0,7360
2014-09-23,J (Apr 2015),17.7000,18.0100,17.6300,18.0000,18.0000,0.3000,2049,0,7598
2014-09-24,J (Apr 2015),17.9800,18.0000,17.6900,17.8000,17.8000,-0.2000,1241,0,7725
2014-09-25,J (Apr 2015),17.8000,18.2400,17.7300,18.0500,18.1000,0.3000,3782,0,7823
2014-09-26,J (Apr 2015),18.1000,18.2000,17.8300,17.9900,18.0500,-0.0500,2088,0,8134
2014-09-29,J (Apr 2015),18.0600,18.5000,17.9800,18.5000,18.5000,0.4500,3168,0,8588
2014-09-30,J (Apr 2015),18.5000,18.6000,18.2500,18.6000,18.6000,0.1000,1870,0,8939
2014-10-01,J (Apr 2015),18.9000,18.9700,18.8000,18.9700,19.0000,0.4000,2687,0,9461
2014-10-02,J (Apr 2015),18.9000,19.0500,18.6000,18.8500,18.8500,-0.1500,4241,0,10059
2014-10-03,J (Apr 2015),18.8000,18.8500,18.0500,18.0500,18.1000,-0.7500,2720,0,10565
2014-10-06,J (Apr 2015),18.1700,18.4000,17.8500,18.4000,18.4000,0.3000,1680,0,10779
2014-10-07,J (Apr 2015),18.4500,19.0000,18.3900,19.0000,19.0000,0.6000,4152,0,10740
2014-10-08,J (Apr 2015),19.0000,19.0100,18.0000,18.0500,18.0500,-0.9500,4373,38,11532
2014-10-09,J (Apr 2015),18.0500,18.8000,17.9900,18.7500,18.7500,0.7000,4721,0,11951
2014-10-10,J (Apr 2015),18.8000,19.7500,18.5500,19.7200,19.7500,1.0000,7794,0,13262
2014-10-13,J (Apr 2015),19.7600,20.6500,19.2500,20.6500,20.6500,0.9000,7331,0,13427
2014-10-14,J (Apr 2015),20.6000,20.9500,19.5800,19.9500,19.9500,-0.7000,8429,109,13955
2014-10-15,J (Apr 2015),19.9100,21.3900,19.6000,21.1500,21.1500,1.2000,8724,0,14858
2014-10-16,J (Apr 2015),21.1500,21.8500,20.3200,20.6500,20.6500,-0.5000,4500,13,14908
2014-10-17,J (Apr 2015),20.6000,20.6000,19.4800,19.9500,19.9500,-0.7000,3788,0,15237
2014-10-20,J (Apr 2015),19.8600,20.1000,19.5800,19.6000,19.6500,-0.3000,4696,0,16285
2014-10-21,J (Apr 2015),19.5500,19.8700,18.8500,18.9000,18.9000,-0.7500,7120,0,16265
2014-10-22,J (Apr 2015),18.9000,19.6500,18.8000,19.3500,19.3500,0.4500,5854,0,16041
2014-10-23,J (Apr 2015),19.3000,19.3800,18.7600,18.9000,18.9000,-0.4500,4137,0,16157
2014-10-24,J (Apr 2015),18.8800,19.4500,18.6500,18.6500,18.7000,-0.2000,3501,0,16605
2014-10-27,J (Apr 2015),18.7500,19.2100,18.4000,18.5000,18.5000,-0.2000,4651,0,16765
2014-10-28,J (Apr 2015),18.5100,18.5200,17.8000,17.8500,17.8500,-0.6500,4418,0,17467
2014-10-29,J (Apr 2015),17.8000,18.3500,17.8000,18.0600,18.1000,0.2500,4088,0,17875
2014-10-30,J (Apr 2015),18.0500,18.4300,17.8500,18.1500,18.2000,0.1000,3292,0,17798
2014-10-31,J (Apr 2015),18.2000,18.2500,17.6300,18.1300,18.1500,-0.0500,3492,44,17855
2014-11-03,J (Apr 2015),18.1300,18.4200,17.9500,18.2500,18.2500,0.1000,4101,0,18709
2014-11-04,J (Apr 2015),18.2000,18.6900,18.2000,18.3000,18.3000,0.0500,4430,0,19128
2014-11-05,J (Apr 2015),18.3200,18.3700,18.0500,18.0900,18.1000,-0.2000,2134,0,19853
2014-11-06,J (Apr 2015),18.1500,18.3500,17.7700,17.8000,17.8000,-0.3000,5044,0,20967
2014-11-07,J (Apr 2015),17.8000,18.0200,17.7200,17.8000,17.8000,0.0000,2891,0,21196
2014-11-10,J (Apr 2015),17.7500,17.8800,17.3700,17.4000,17.4000,-0.4000,2961,0,21461
2014-11-11,J (Apr 2015),17.3500,17.6000,17.2500,17.2600,17.3000,-0.1000,1893,0,21175
2014-11-12,J (Apr 2015),17.2500,17.5600,17.2500,17.4500,17.5000,0.2000,2231,0,21268
2014-11-13,J (Apr 2015),17.5000,18.0900,17.3300,17.8000,17.8500,0.3500,7253,0,21001
2014-11-14,J (Apr 2015),17.8000,17.8300,17.4500,17.5100,17.5500,-0.3000,3376,0,21112
2014-11-17,J (Apr 2015),17.5500,17.8100,17.4300,17.5500,17.5500,0.0000,3229,0,20665
2014-11-18,J (Apr 2015),17.5500,17.6000,17.2900,17.6000,17.6000,0.0500,5814,0,22156
2014-11-19,J (Apr 2015),17.5900,17.8000,17.5000,17.7900,17.8000,0.2000,3001,0,22053
2014-11-20,J (Apr 2015),17.8000,18.0300,17.6500,17.6500,17.7000,-0.1000,4202,0,22207
2014-11-21,J (Apr 2015),17.6500,17.7800,17.3800,17.7000,17.7000,0.0000,5278,0,22611
2014-11-24,J (Apr 2015),17.6800,17.7300,17.5500,17.6500,17.7000,0.0000,4413,57,23403
2014-11-25,J (Apr 2015),17.6700,17.8500,17.5500,17.7000,17.7500,0.0500,6019,0,23320
2014-11-26,J (Apr 2015),17.7500,17.8800,17.6000,17.6500,17.6500,-0.1000,5147,0,23476
2014-11-28,J (Apr 2015),17.6300,17.8500,17.5300,17.7100,17.7500,0.1000,4383,0,23595
2014-12-01,J (Apr 2015),17.8000,18.2200,17.8000,18.2000,18.2500,0.5000,7203,116,22435
2014-12-02,J (Apr 2015),18.1900,18.2200,17.4000,17.4500,17.4500,-0.8000,8921,0,23147
2014-12-03,J (Apr 2015),17.4500,17.5500,17.2900,17.4600,17.5000,0.0500,5321,0,23024
2014-12-04,J (Apr 2015),17.5000,17.7400,17.3400,17.3500,17.3500,-0.1500,3552,57,22947
2014-12-05,J (Apr 2015),17.3500,17.4900,17.1500,17.3500,17.4000,0.0500,5059,57,23331
2014-12-08,J (Apr 2015),17.3500,17.8500,17.3200,17.8000,17.8500,0.4500,5986,0,23169
2014-12-09,J (Apr 2015),17.8100,18.2800,17.6200,17.8000,17.8000,-0.0500,7235,0,23347
