date,f1,f2,f2_f1,f1_dte
2013-05-20,13.3,15.1,1.1353383458646615,2
2013-05-21,13.55,15.4,1.136531365313653,1
2013-05-22,15.3,16.4,1.0718954248366013,28
2013-05-23,15.5,16.55,1.067741935483871,27
2013-05-24,15.5,16.5,1.064516129032258,26
2013-05-28,15.2,16.35,1.0756578947368423,22
2013-05-29,15.4,16.4,1.0649350649350648,21
2013-05-30,15.4,16.55,1.0746753246753247,20
2013-05-31,16.05,17.15,1.0685358255451711,19
2013-06-03,16.0,17.0,1.0625,16
2013-06-04,16.1,17.1,1.062111801242236,15
2013-06-05,17.05,17.7,1.0381231671554252,14
2013-06-06,16.55,17.25,1.0422960725075527,13
2013-06-07,15.8,16.9,1.0696202531645569,12
2013-06-10,15.6,16.7,1.0705128205128205,9
2013-06-11,16.9,17.6,1.0414201183431955,8
2013-06-12,18.25,18.55,1.0164383561643835,7
2013-06-13,16.8,17.7,1.0535714285714284,6
2013-06-14,17.55,18.3,1.0427350427350428,5
2013-06-17,16.95,17.8,1.0501474926253689,2
2013-06-18,16.8,17.65,1.050595238095238,1
2013-06-19,17.55,18.35,1.0455840455840457,28
2013-06-20,19.65,19.45,0.989821882951654,27
2013-06-21,19.0,19.4,1.0210526315789472,26
2013-06-24,20.15,20.3,1.0074441687344915,23
2013-06-25,19.45,19.95,1.025706940874036,22
2013-06-26,18.85,19.6,1.039787798408488,21
2013-06-27,18.2,19.05,1.0467032967032968,20
2013-06-28,18.05,18.9,1.047091412742382,19
2013-07-01,17.65,18.45,1.0453257790368273,16
2013-07-02,17.6,18.45,1.0482954545454544,15
2013-07-03,17.25,18.35,1.0637681159420291,14
2013-07-05,15.95,17.45,1.0940438871473355,12
2013-07-08,15.35,16.75,1.0912052117263844,9
2013-07-09,15.1,16.65,1.1026490066225165,8
2013-07-10,14.85,16.35,1.1010101010101012,7
2013-07-11,14.5,16.05,1.106896551724138,6
2013-07-12,14.65,16.2,1.10580204778157,5
2013-07-15,14.05,15.75,1.1209964412811386,2
2013-07-16,14.25,16.2,1.1368421052631579,1
2013-07-17,15.6,16.95,1.0865384615384615,35
2013-07-18,15.45,16.9,1.093851132686084,34
2013-07-19,14.9,16.5,1.1073825503355705,33
2013-07-22,14.7,16.2,1.1020408163265307,30
2013-07-23,14.65,16.15,1.1023890784982935,29
2013-07-24,14.8,16.2,1.0945945945945945,28
2013-07-25,14.5,15.9,1.096551724137931,27
2013-07-26,14.45,15.85,1.0968858131487889,26
2013-07-29,14.65,15.95,1.0887372013651877,23
2013-07-30,14.3,15.7,1.0979020979020977,22
2013-07-31,13.9,15.4,1.1079136690647482,21
2013-08-01,13.6,15.05,1.1066176470588236,20
2013-08-02,13.15,14.65,1.1140684410646389,19
2013-08-05,13.05,14.45,1.1072796934865898,16
2013-08-06,13.4,14.85,1.1082089552238805,15
2013-08-07,13.55,15.05,1.1107011070110702,14
2013-08-08,13.25,14.85,1.120754716981132,13
2013-08-09,13.55,15.2,1.121771217712177,12
2013-08-12,13.35,15.0,1.1235955056179776,9
2013-08-13,13.1,14.9,1.1374045801526718,8
2013-08-14,13.35,15.15,1.1348314606741574,7
2013-08-15,14.25,15.75,1.105263157894737,6
2013-08-16,14.45,15.6,1.0795847750865053,5
2013-08-19,15.05,15.95,1.0598006644518272,2
2013-08-20,15.0,15.65,1.0433333333333334,1
2013-08-21,16.1,16.95,1.0527950310559004,28
2013-08-22,15.45,16.4,1.0614886731391586,27
2013-08-23,15.2,16.25,1.069078947368421,26
2013-08-26,15.85,16.7,1.0536277602523658,23
2013-08-27,17.2,17.9,1.0406976744186045,22
2013-08-28,17.35,17.95,1.0345821325648414,21
2013-08-29,17.35,17.95,1.0345821325648414,20
2013-08-30,17.5,18.15,1.0371428571428571,19
2013-09-03,16.85,17.65,1.0474777448071215,15
2013-09-04,16.7,17.55,1.0508982035928145,14
2013-09-05,16.4,17.4,1.0609756097560976,13
2013-09-06,16.5,17.5,1.0606060606060606,12
2013-09-09,15.8,16.8,1.0632911392405062,9
2013-09-10,15.15,16.35,1.0792079207920793,8
2013-09-11,14.55,15.75,1.0824742268041236,7
2013-09-12,14.8,15.8,1.0675675675675675,6
2013-09-13,14.8,15.8,1.0675675675675675,5
2013-09-16,14.7,15.55,1.0578231292517009,2
2013-09-17,14.65,15.45,1.0546075085324231,1
2013-09-18,14.7,15.9,1.0816326530612246,28
2013-09-19,14.75,15.9,1.0779661016949154,27
2013-09-20,15.0,16.15,1.0766666666666667,26
2013-09-23,15.35,16.4,1.0684039087947883,23
2013-09-24,15.05,16.25,1.0797342192691028,22
