index,window,days_in_window,P(event|window),base_rate,lift,share_of_all_events
SPX,FOMC day (T),122,0.1066,0.0771,1.38,0.045
SPX,FOMC T-1..T+1,365,0.0986,0.0771,1.28,0.124
SPX,FOMC T+1..T+3 (post),366,0.112,0.0771,1.45,0.141
SPX,NFP day,181,0.1215,0.0771,1.58,0.076
SPX,NFP T..T+1,362,0.0994,0.0771,1.29,0.124
SPX,"CPI window (d10-15, approx)",765,0.0732,0.0771,0.95,0.192
SPX,event in prior 5 days (self-clustering),1068,0.147,0.0771,1.91,0.54
SPX,NO event in prior 5 days,2704,0.0496,0.0771,0.64,0.46
NDX,FOMC day (T),122,0.123,0.1132,1.09,0.035
NDX,FOMC T-1..T+1,365,0.137,0.1132,1.21,0.117
NDX,FOMC T+1..T+3 (post),366,0.153,0.1132,1.35,0.131
NDX,NFP day,181,0.1602,0.1132,1.42,0.068
NDX,NFP T..T+1,362,0.1354,0.1132,1.2,0.115
NDX,"CPI window (d10-15, approx)",765,0.102,0.1132,0.9,0.183
NDX,event in prior 5 days (self-clustering),1531,0.162,0.1132,1.43,0.581
NDX,NO event in prior 5 days,2241,0.0799,0.1132,0.71,0.419
