index,feature,median_pre_event_T-1,median_normal,p75_pre_event
SPX,vix,21.03,16.1,27.515
SPX,vix_chg5,0.69,-0.21,2.71
SPX,ts_ratio,0.9384,0.8799,0.9905
SPX,vvix,102.885,93.235,115.89
SPX,move,83.87,71.04,105.95
SPX,skew,127.26,130.6,136.665
SPX,rv21,16.683,11.9368,24.5781
SPX,vrp,4.0104,3.9216,6.9307
SPX,dd_52w,-0.056,-0.0149,-0.0218
SPX,ret_5d,-0.0041,0.0047,0.0106
SPX,hyg_ret20,-0.0054,0.0062,0.0066
SPX,breadth_20,-0.0021,-0.0002,0.0084
NDX,vix,19.85,16.06,25.48
NDX,vix_chg5,0.11,-0.2,2.18
NDX,ts_ratio,0.9226,0.88,0.9682
NDX,vvix,100.425,93.165,112.4475
NDX,move,81.12,70.98,105.77
NDX,skew,128.93,130.53,138.735
NDX,rv21,15.8429,11.8824,21.9738
NDX,vrp,3.8087,3.9368,6.4825
NDX,dd_52w,-0.043,-0.0148,-0.0119
NDX,ret_5d,-0.0005,0.0046,0.0126
NDX,hyg_ret20,-0.0007,0.0062,0.0089
NDX,breadth_20,-0.0011,-0.0002,0.0095
